coverage_id,scale,category,row_name,window_name,achieved_qps,error_rate,latency_p95_ms,sample_count,source_stage,source_artifact,method
50.management.create_cluster,50,management,create_cluster,pre_event,14.833707,0.0,72.434458,4,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/workload_windows.json,copy_workload_window_metrics
50.management.create_cluster,50,management,create_cluster,recovery,14.618923,0.0,77.315964,4,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/workload_windows.json,copy_workload_window_metrics
50.management.meet_nodes,50,management,meet_nodes,all_run,10.82078,0.0,77.175598,20,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/workload_windows.json,copy_workload_window_metrics
50.management.meet_nodes,50,management,meet_nodes,baseline,14.532459,0.0,75.576344,4,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/workload_windows.json,copy_workload_window_metrics
50.management.meet_nodes,50,management,meet_nodes,event,5.090708,0.0,70.573881,4,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/workload_windows.json,copy_workload_window_metrics
50.management.meet_nodes,50,management,meet_nodes,post_recovery,14.25901,0.0,83.40129,4,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/workload_windows.json,copy_workload_window_metrics
50.management.meet_nodes,50,management,meet_nodes,pre_event,15.153022,0.0,67.791614,4,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/workload_windows.json,copy_workload_window_metrics
50.management.meet_nodes,50,management,meet_nodes,recovery,16.548531,0.0,63.513931,4,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/workload_windows.json,copy_workload_window_metrics
50.management.rebalance_after_imbalance,50,management,rebalance_after_imbalance,all_run,3.677371,0.0,76.100246,20,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/workload_windows.json,copy_workload_window_metrics
50.management.rebalance_after_imbalance,50,management,rebalance_after_imbalance,baseline,14.821036,0.0,72.040294,4,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/workload_windows.json,copy_workload_window_metrics
50.management.rebalance_after_imbalance,50,management,rebalance_after_imbalance,event,0.920423,0.0,73.628447,4,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/workload_windows.json,copy_workload_window_metrics
50.management.rebalance_after_imbalance,50,management,rebalance_after_imbalance,post_recovery,13.718423,0.0,76.952846,4,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/workload_windows.json,copy_workload_window_metrics
50.management.rebalance_after_imbalance,50,management,rebalance_after_imbalance,pre_event,15.002257,0.0,72.675333,4,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/workload_windows.json,copy_workload_window_metrics
50.management.rebalance_after_imbalance,50,management,rebalance_after_imbalance,recovery,15.174042,0.0,68.475661,4,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/workload_windows.json,copy_workload_window_metrics
50.management.remove_failed_node,50,management,remove_failed_node,all_run,0.496043,0.0,82.610582,20,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/workload_windows.json,copy_workload_window_metrics
50.management.remove_failed_node,50,management,remove_failed_node,baseline,14.826603,0.0,73.319856,4,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/workload_windows.json,copy_workload_window_metrics
50.management.remove_failed_node,50,management,remove_failed_node,event,0.10204,0.0,82.431848,4,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/workload_windows.json,copy_workload_window_metrics
50.management.remove_failed_node,50,management,remove_failed_node,post_recovery,14.054853,0.0,78.110091,4,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/workload_windows.json,copy_workload_window_metrics
50.management.remove_failed_node,50,management,remove_failed_node,pre_event,13.571145,0.0,83.903458,4,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/workload_windows.json,copy_workload_window_metrics
50.management.remove_failed_node,50,management,remove_failed_node,recovery,14.908826,0.0,77.091316,4,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/workload_windows.json,copy_workload_window_metrics
50.management.remove_primary_drained_or_safe_replaced,50,management,remove_primary_drained_or_safe_replaced,all_run,0.523265,0.0,71.664225,20,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/workload_windows.json,copy_workload_window_metrics
50.management.remove_primary_drained_or_safe_replaced,50,management,remove_primary_drained_or_safe_replaced,baseline,15.420371,0.0,69.831734,4,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/workload_windows.json,copy_workload_window_metrics
50.management.remove_primary_drained_or_safe_replaced,50,management,remove_primary_drained_or_safe_replaced,event,0.10759,0.0,71.511088,4,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/workload_windows.json,copy_workload_window_metrics
50.management.remove_primary_drained_or_safe_replaced,50,management,remove_primary_drained_or_safe_replaced,post_recovery,14.794299,0.0,72.578044,4,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/workload_windows.json,copy_workload_window_metrics
