row_id,category,source_stage_id,operation_or_fault,node_count,status,qps_ratio,latency_p99_delta_ms,error_rate_delta,recovery_duration_ms,source_artifacts,reason
P21_FAILOVER_LATENCY_CURVE_200:rung-200-sample-03,failover,P21_FAILOVER_LATENCY_CURVE_200,primary_stop_failover,200,PASS,0.0,-1.457,1.0,MISSING (recovery_duration_ms: recovery_duration_ms could not be derived from source window metrics.),artifacts/phases/P21_FAILOVER_LATENCY_CURVE_200/failover_latency_samples_200.jsonl;artifacts/phases/P21_FAILOVER_LATENCY_CURVE_200/workload_impact_report.json,recovery_duration_ms: recovery_duration_ms could not be derived from source window metrics.
P22_FAULT_REPLICA_HOST_AZ_STOP:p22-10-az_stop,fault,P22_FAULT_REPLICA_HOST_AZ_STOP,az_stop,10,PASS,0.0,MISSING (latency_p50_delta_ms: latency_p50_delta_ms could not be derived from source window metrics.; latency_p95_delta_ms: latency_p95_delta_ms could not be derived from source window metrics.; latency_p99_delta_ms: latency_p99_delta_ms could not be derived from source window metrics.; recovery_duration_ms: recovery_duration_ms could not be derived from source window metrics.),1.0,MISSING (latency_p50_delta_ms: latency_p50_delta_ms could not be derived from source window metrics.; latency_p95_delta_ms: latency_p95_delta_ms could not be derived from source window metrics.; latency_p99_delta_ms: latency_p99_delta_ms could not be derived from source window metrics.; recovery_duration_ms: recovery_duration_ms could not be derived from source window metrics.),artifacts/phases/P22_FAULT_REPLICA_HOST_AZ_STOP/fault_results.jsonl;artifacts/phases/P22_FAULT_REPLICA_HOST_AZ_STOP/workload_impact_report.json,latency_p50_delta_ms: latency_p50_delta_ms could not be derived from source window metrics.; latency_p95_delta_ms: latency_p95_delta_ms could not be derived from source window metrics.; latency_p99_delta_ms: latency_p99_delta_ms could not be derived from source window metrics.; recovery_duration_ms: recovery_duration_ms could not be derived from source window metrics.
P22_FAULT_REPLICA_HOST_AZ_STOP:p22-10-node_host_stop,fault,P22_FAULT_REPLICA_HOST_AZ_STOP,node_host_stop,10,PASS,0.75,1.065,0.0,MISSING (recovery_duration_ms: recovery_duration_ms could not be derived from source window metrics.),artifacts/phases/P22_FAULT_REPLICA_HOST_AZ_STOP/fault_results.jsonl;artifacts/phases/P22_FAULT_REPLICA_HOST_AZ_STOP/workload_impact_report.json,recovery_duration_ms: recovery_duration_ms could not be derived from source window metrics.
P22_FAULT_REPLICA_HOST_AZ_STOP:p22-10-replica_stop,fault,P22_FAULT_REPLICA_HOST_AZ_STOP,replica_stop,10,PASS,1.166668,-0.27,0.0,MISSING (recovery_duration_ms: recovery_duration_ms could not be derived from source window metrics.),artifacts/phases/P22_FAULT_REPLICA_HOST_AZ_STOP/fault_results.jsonl;artifacts/phases/P22_FAULT_REPLICA_HOST_AZ_STOP/workload_impact_report.json,recovery_duration_ms: recovery_duration_ms could not be derived from source window metrics.
P22_FAULT_REPLICA_HOST_AZ_STOP:p22-30-az_stop,fault,P22_FAULT_REPLICA_HOST_AZ_STOP,az_stop,30,PASS,0.0,MISSING (latency_p50_delta_ms: latency_p50_delta_ms could not be derived from source window metrics.; latency_p95_delta_ms: latency_p95_delta_ms could not be derived from source window metrics.; latency_p99_delta_ms: latency_p99_delta_ms could not be derived from source window metrics.; recovery_duration_ms: recovery_duration_ms could not be derived from source window metrics.),1.0,MISSING (latency_p50_delta_ms: latency_p50_delta_ms could not be derived from source window metrics.; latency_p95_delta_ms: latency_p95_delta_ms could not be derived from source window metrics.; latency_p99_delta_ms: latency_p99_delta_ms could not be derived from source window metrics.; recovery_duration_ms: recovery_duration_ms could not be derived from source window metrics.),artifacts/phases/P22_FAULT_REPLICA_HOST_AZ_STOP/fault_results.jsonl;artifacts/phases/P22_FAULT_REPLICA_HOST_AZ_STOP/workload_impact_report.json,latency_p50_delta_ms: latency_p50_delta_ms could not be derived from source window metrics.; latency_p95_delta_ms: latency_p95_delta_ms could not be derived from source window metrics.; latency_p99_delta_ms: latency_p99_delta_ms could not be derived from source window metrics.; recovery_duration_ms: recovery_duration_ms could not be derived from source window metrics.
P22_FAULT_REPLICA_HOST_AZ_STOP:p22-30-node_host_stop,fault,P22_FAULT_REPLICA_HOST_AZ_STOP,node_host_stop,30,PASS,0.0,MISSING (latency_p50_delta_ms: latency_p50_delta_ms could not be derived from source window metrics.; latency_p95_delta_ms: latency_p95_delta_ms could not be derived from source window metrics.; latency_p99_delta_ms: latency_p99_delta_ms could not be derived from source window metrics.; recovery_duration_ms: recovery_duration_ms could not be derived from source window metrics.),1.0,MISSING (latency_p50_delta_ms: latency_p50_delta_ms could not be derived from source window metrics.; latency_p95_delta_ms: latency_p95_delta_ms could not be derived from source window metrics.; latency_p99_delta_ms: latency_p99_delta_ms could not be derived from source window metrics.; recovery_duration_ms: recovery_duration_ms could not be derived from source window metrics.),artifacts/phases/P22_FAULT_REPLICA_HOST_AZ_STOP/fault_results.jsonl;artifacts/phases/P22_FAULT_REPLICA_HOST_AZ_STOP/workload_impact_report.json,latency_p50_delta_ms: latency_p50_delta_ms could not be derived from source window metrics.; latency_p95_delta_ms: latency_p95_delta_ms could not be derived from source window metrics.; latency_p99_delta_ms: latency_p99_delta_ms could not be derived from source window metrics.; recovery_duration_ms: recovery_duration_ms could not be derived from source window metrics.
P22_FAULT_REPLICA_HOST_AZ_STOP:p22-30-replica_stop,fault,P22_FAULT_REPLICA_HOST_AZ_STOP,replica_stop,30,PASS,0.9,0.425,0.0,MISSING (recovery_duration_ms: recovery_duration_ms could not be derived from source window metrics.),artifacts/phases/P22_FAULT_REPLICA_HOST_AZ_STOP/fault_results.jsonl;artifacts/phases/P22_FAULT_REPLICA_HOST_AZ_STOP/workload_impact_report.json,recovery_duration_ms: recovery_duration_ms could not be derived from source window metrics.
P22_FAULT_REPLICA_HOST_AZ_STOP:p22-6-az_stop,fault,P22_FAULT_REPLICA_HOST_AZ_STOP,az_stop,6,PASS,2.857143,-2.396,0.0,MISSING (recovery_duration_ms: recovery_duration_ms could not be derived from source window metrics.),artifacts/phases/P22_FAULT_REPLICA_HOST_AZ_STOP/fault_results.jsonl;artifacts/phases/P22_FAULT_REPLICA_HOST_AZ_STOP/workload_impact_report.json,recovery_duration_ms: recovery_duration_ms could not be derived from source window metrics.
P22_FAULT_REPLICA_HOST_AZ_STOP:p22-6-node_host_stop,fault,P22_FAULT_REPLICA_HOST_AZ_STOP,node_host_stop,6,PASS,1.714286,-0.466,0.0,MISSING (recovery_duration_ms: recovery_duration_ms could not be derived from source window metrics.),artifacts/phases/P22_FAULT_REPLICA_HOST_AZ_STOP/fault_results.jsonl;artifacts/phases/P22_FAULT_REPLICA_HOST_AZ_STOP/workload_impact_report.json,recovery_duration_ms: recovery_duration_ms could not be derived from source window metrics.
P22_FAULT_REPLICA_HOST_AZ_STOP:p22-6-replica_stop,fault,P22_FAULT_REPLICA_HOST_AZ_STOP,replica_stop,6,PASS,1.727277,-1.755,0.0,MISSING (recovery_duration_ms: recovery_duration_ms could not be derived from source window metrics.),artifacts/phases/P22_FAULT_REPLICA_HOST_AZ_STOP/fault_results.jsonl;artifacts/phases/P22_FAULT_REPLICA_HOST_AZ_STOP/workload_impact_report.json,recovery_duration_ms: recovery_duration_ms could not be derived from source window metrics.
P23_FAULT_NETWORK_DELAY_LOSS_FLAP:p23-10-network_delay,fault,P23_FAULT_NETWORK_DELAY_LOSS_FLAP,network_delay,10,PASS,0.00987,172.018,0.0,MISSING (recovery_duration_ms: recovery_duration_ms could not be derived from source window metrics.),artifacts/phases/P23_FAULT_NETWORK_DELAY_LOSS_FLAP/fault_results.jsonl;artifacts/phases/P23_FAULT_NETWORK_DELAY_LOSS_FLAP/workload_impact_report.json,recovery_duration_ms: recovery_duration_ms could not be derived from source window metrics.
P23_FAULT_NETWORK_DELAY_LOSS_FLAP:p23-10-network_flap,fault,P23_FAULT_NETWORK_DELAY_LOSS_FLAP,network_flap,10,PASS,0.0092,3.033,0.625,MISSING (recovery_duration_ms: recovery_duration_ms could not be derived from source window metrics.),artifacts/phases/P23_FAULT_NETWORK_DELAY_LOSS_FLAP/fault_results.jsonl;artifacts/phases/P23_FAULT_NETWORK_DELAY_LOSS_FLAP/workload_impact_report.json,recovery_duration_ms: recovery_duration_ms could not be derived from source window metrics.
P23_FAULT_NETWORK_DELAY_LOSS_FLAP:p23-10-network_loss,fault,P23_FAULT_NETWORK_DELAY_LOSS_FLAP,network_loss,10,PASS,0.75,0.458,0.5,MISSING (recovery_duration_ms: recovery_duration_ms could not be derived from source window metrics.),artifacts/phases/P23_FAULT_NETWORK_DELAY_LOSS_FLAP/fault_results.jsonl;artifacts/phases/P23_FAULT_NETWORK_DELAY_LOSS_FLAP/workload_impact_report.json,recovery_duration_ms: recovery_duration_ms could not be derived from source window metrics.
P23_FAULT_NETWORK_DELAY_LOSS_FLAP:p23-6-network_delay,fault,P23_FAULT_NETWORK_DELAY_LOSS_FLAP,network_delay,6,PASS,0.008063,171.143,0.0,MISSING (recovery_duration_ms: recovery_duration_ms could not be derived from source window metrics.),artifacts/phases/P23_FAULT_NETWORK_DELAY_LOSS_FLAP/fault_results.jsonl;artifacts/phases/P23_FAULT_NETWORK_DELAY_LOSS_FLAP/workload_impact_report.json,recovery_duration_ms: recovery_duration_ms could not be derived from source window metrics.
P23_FAULT_NETWORK_DELAY_LOSS_FLAP:p23-6-network_flap,fault,P23_FAULT_NETWORK_DELAY_LOSS_FLAP,network_flap,6,PASS,0.009417,2.422,0.5625,MISSING (recovery_duration_ms: recovery_duration_ms could not be derived from source window metrics.),artifacts/phases/P23_FAULT_NETWORK_DELAY_LOSS_FLAP/fault_results.jsonl;artifacts/phases/P23_FAULT_NETWORK_DELAY_LOSS_FLAP/workload_impact_report.json,recovery_duration_ms: recovery_duration_ms could not be derived from source window metrics.
P23_FAULT_NETWORK_DELAY_LOSS_FLAP:p23-6-network_loss,fault,P23_FAULT_NETWORK_DELAY_LOSS_FLAP,network_loss,6,PASS,0.933333,-1.132,0.5,MISSING (recovery_duration_ms: recovery_duration_ms could not be derived from source window metrics.),artifacts/phases/P23_FAULT_NETWORK_DELAY_LOSS_FLAP/fault_results.jsonl;artifacts/phases/P23_FAULT_NETWORK_DELAY_LOSS_FLAP/workload_impact_report.json,recovery_duration_ms: recovery_duration_ms could not be derived from source window metrics.
P24_PARTITION_SPLIT_BRAIN_MATRIX:p24-10-network_partition_majority,fault,P24_PARTITION_SPLIT_BRAIN_MATRIX,network_partition_majority,10,PASS,1.071429,0.207,0.0,MISSING (recovery_duration_ms: recovery_duration_ms could not be derived from source window metrics.),artifacts/phases/P24_PARTITION_SPLIT_BRAIN_MATRIX/fault_results.jsonl;artifacts/phases/P24_PARTITION_SPLIT_BRAIN_MATRIX/workload_impact_report.json,recovery_duration_ms: recovery_duration_ms could not be derived from source window metrics.
P24_PARTITION_SPLIT_BRAIN_MATRIX:p24-10-network_partition_minority,fault,P24_PARTITION_SPLIT_BRAIN_MATRIX,network_partition_minority,10,PASS,0.0,MISSING (latency_p50_delta_ms: latency_p50_delta_ms could not be derived from source window metrics.; latency_p95_delta_ms: latency_p95_delta_ms could not be derived from source window metrics.; latency_p99_delta_ms: latency_p99_delta_ms could not be derived from source window metrics.; recovery_duration_ms: recovery_duration_ms could not be derived from source window metrics.),1.0,MISSING (latency_p50_delta_ms: latency_p50_delta_ms could not be derived from source window metrics.; latency_p95_delta_ms: latency_p95_delta_ms could not be derived from source window metrics.; latency_p99_delta_ms: latency_p99_delta_ms could not be derived from source window metrics.; recovery_duration_ms: recovery_duration_ms could not be derived from source window metrics.),artifacts/phases/P24_PARTITION_SPLIT_BRAIN_MATRIX/fault_results.jsonl;artifacts/phases/P24_PARTITION_SPLIT_BRAIN_MATRIX/workload_impact_report.json,latency_p50_delta_ms: latency_p50_delta_ms could not be derived from source window metrics.; latency_p95_delta_ms: latency_p95_delta_ms could not be derived from source window metrics.; latency_p99_delta_ms: latency_p99_delta_ms could not be derived from source window metrics.; recovery_duration_ms: recovery_duration_ms could not be derived from source window metrics.
P24_PARTITION_SPLIT_BRAIN_MATRIX:p24-10-split_brain_window_detection,fault,P24_PARTITION_SPLIT_BRAIN_MATRIX,split_brain_window_detection,10,PASS,1.124999,0.211,0.0,MISSING (recovery_duration_ms: recovery_duration_ms could not be derived from source window metrics.),artifacts/phases/P24_PARTITION_SPLIT_BRAIN_MATRIX/fault_results.jsonl;artifacts/phases/P24_PARTITION_SPLIT_BRAIN_MATRIX/workload_impact_report.json,recovery_duration_ms: recovery_duration_ms could not be derived from source window metrics.
P24_PARTITION_SPLIT_BRAIN_MATRIX:p24-6-network_partition_majority,fault,P24_PARTITION_SPLIT_BRAIN_MATRIX,network_partition_majority,6,PASS,1.0,0.232,0.0,MISSING (recovery_duration_ms: recovery_duration_ms could not be derived from source window metrics.),artifacts/phases/P24_PARTITION_SPLIT_BRAIN_MATRIX/fault_results.jsonl;artifacts/phases/P24_PARTITION_SPLIT_BRAIN_MATRIX/workload_impact_report.json,recovery_duration_ms: recovery_duration_ms could not be derived from source window metrics.
P24_PARTITION_SPLIT_BRAIN_MATRIX:p24-6-network_partition_minority,fault,P24_PARTITION_SPLIT_BRAIN_MATRIX,network_partition_minority,6,PASS,0.0,MISSING (latency_p50_delta_ms: latency_p50_delta_ms could not be derived from source window metrics.; latency_p95_delta_ms: latency_p95_delta_ms could not be derived from source window metrics.; latency_p99_delta_ms: latency_p99_delta_ms could not be derived from source window metrics.; recovery_duration_ms: recovery_duration_ms could not be derived from source window metrics.),1.0,MISSING (latency_p50_delta_ms: latency_p50_delta_ms could not be derived from source window metrics.; latency_p95_delta_ms: latency_p95_delta_ms could not be derived from source window metrics.; latency_p99_delta_ms: latency_p99_delta_ms could not be derived from source window metrics.; recovery_duration_ms: recovery_duration_ms could not be derived from source window metrics.),artifacts/phases/P24_PARTITION_SPLIT_BRAIN_MATRIX/fault_results.jsonl;artifacts/phases/P24_PARTITION_SPLIT_BRAIN_MATRIX/workload_impact_report.json,latency_p50_delta_ms: latency_p50_delta_ms could not be derived from source window metrics.; latency_p95_delta_ms: latency_p95_delta_ms could not be derived from source window metrics.; latency_p99_delta_ms: latency_p99_delta_ms could not be derived from source window metrics.; recovery_duration_ms: recovery_duration_ms could not be derived from source window metrics.
P24_PARTITION_SPLIT_BRAIN_MATRIX:p24-6-split_brain_window_detection,fault,P24_PARTITION_SPLIT_BRAIN_MATRIX,split_brain_window_detection,6,PASS,0.75,0.358,0.0,MISSING (recovery_duration_ms: recovery_duration_ms could not be derived from source window metrics.),artifacts/phases/P24_PARTITION_SPLIT_BRAIN_MATRIX/fault_results.jsonl;artifacts/phases/P24_PARTITION_SPLIT_BRAIN_MATRIX/workload_impact_report.json,recovery_duration_ms: recovery_duration_ms could not be derived from source window metrics.
